departement,gamma,r_squared,n_points,epsilon_min,epsilon_max,pic_variance_jour,pic_cas_jour,avance_jours,chi_max
74,0.48814431012334925,0.5397612567048468,11,1,11,2020-04-04,2020-03-29,-6,1074.952380952381
75,0.1687283106309303,0.17739296791455286,13,1,13,2020-04-06,2020-03-28,-9,22564.238095238106
76,1.0983085924576177,0.8343906619664306,10,1,10,2020-04-03,2020-03-29,-5,1956.952380952381
77,0.754477589136176,0.584247246767618,15,1,15,2020-04-08,2020-04-03,-5,5972.285714285715
78,0.6713664768096484,0.7564716367932435,12,1,12,2020-04-05,2020-03-31,-5,8099.285714285714
79,-0.016016841726812902,0.00043130333440382496,38,1,38,2020-05-01,2020-03-29,-33,58.285714285714285
80,0.5398519137999419,0.46368478329940427,15,1,15,2020-04-08,2020-03-28,-11,1052.5714285714284
81,-0.03241312496307976,0.0014937777106866716,43,1,43,2020-05-06,2020-03-25,-42,100.5714285714286
82,0.2003670418206427,0.15538637059199625,27,1,27,2020-04-20,2020-03-30,-21,10.28571428571429
83,0.6099459033528875,0.6990559458545049,25,1,25,2020-04-18,2020-04-14,-4,1058.285714285714
84,1.112219974454889,0.81529305868518,12,1,12,2020-04-05,2020-03-30,-6,221.14285714285722
86,0.5105378187485573,0.35257336747875073,18,1,18,2020-04-11,2020-04-05,-6,109.14285714285715
87,0.4322938710549818,0.3641631410192388,22,1,22,2020-04-15,2020-03-27,-19,129.9047619047619
88,0.7586275855663576,0.3604084673883271,11,1,11,2020-04-04,2020-03-31,-4,1842.8095238095232
89,0.205299320519927,0.0642689325929697,31,1,31,2020-04-24,2020-03-31,-24,306.2857142857143
90,-0.5805959427993224,0.3109555891674111,59,1,59,2020-05-22,2020-03-25,-58,694.2857142857141
91,1.2587739251846966,0.7972230236898785,21,1,21,2020-04-14,2020-04-08,-6,14359.476190476193
92,0.6280583993279356,0.46271531109997505,14,1,14,2020-04-07,2020-04-01,-6,23174.904761904767
94,0.7760758248094516,0.4957522453942556,12,1,12,2020-04-05,2020-04-01,-4,11513.285714285717
95,0.09215253186348915,0.12842739496153446,12,1,12,2020-04-05,2020-03-23,-13,3588.333333333334
